Name,Quantity,Component
"U1",1," Arduino Uno R3"
"D1",1,"Red LED"
"D2",1,"Yellow LED"
"D3",1,"Blue LED"
"D4",1,"Green LED"
"S1, S2, S3, S4",4," Pushbutton"
"R5, R6, R7, R8",4,"10 kΩ Resistor"
"R1, R2, R3, R4",4,"220 Ω Resistor"
"PIEZO1",1," Piezo"
